 playground,patio de recreo
crappy piece of furniture,muebles que no sirven para nada
cross st,la calle perpendicular
dead animal,animal muerto
dead cat,gato muerto
dead squirrel,ardilla muerta
file a police report,presentar un informe policial
debris in sidewalk,escombros en la acera
E-Bill,factura electrónica
ebill,factura electrónica
E-Bill Express,E-Bill expreso
Employment verification,verificación de empleo
Employee lookup,Búsqueda de empleado
Exchange garbage,need context
file report,presentar un reporte o informe
flat tire,Neumático desinflado
license plate,placa
gang-related graffiti,graffiti relacionado con pandillas
gang graffiiti,graffiti de pandillas
gang tag,marca de pandilla
gang tags,marcas de pandilla
garbage bill inquiry,preguntas sobre la factura de basura
garbage billing,la facturación de basura
garbage rates,las tasas de basura
gang-related,relacionado con las pandillas
under overpass,debajo del paso elevado
under over pass,debajo del paso elevado
has been parked in the same location,ha estado estacionado en el mismo lugar
homeless camp,campamento de personas sin hogar
overcrossing,paso elevado / sobrecruzamiento (needs context)
break-in,robo
smoking crack,fumar crack
dumpsters,contenedores de basura
homeless living here,personas sin hogar que viven aquí
homeless people living here,las personas sin hogar que viven aquí
dumping,basura ilegal
dumping their trash,vertido de sus basuras
homeless shopping carts with junk in them,carritos de compras que contienen basura de personas sin hogar
Homeless people keep dumping their trash here.,Las personas sin hogar siguen tirando su basura aquí.
Homeless person living in the car,Persona sin hogar viviendo en el carro
needs to be repainted,necesita repintarlo
stop sign,pare
traffic circle,rotonda o glorieta
spraypaint,pintura en aerosol
exposed high voltage,Ellos serán electrocutados
They will be electrocuted,Ellos serán electrocutados
"Please fix issue right away. ",por favor abordar el asunto de inmediato
same group of daily offenders,mismo grupo de delincuentes diarios
drinking alcohol,bebiendo alcohol
not practicing social distancing,no practicar el distanciamiento social
ticketing these violators,multar estos violadores
Send authorities out to ticket them!,¡enviar a las autoridades para multarlos!
customer service rep,representante de servicio al cliente
customer service representative,Representante de Servicio al Cliente
customer call center,centro de atención telefónica al cliente
live chat,chat en vivo
live agent,agente real
"Comments are closed. ",Los comentarios están cerrados.
"If additional assistance is needed, please create a new service request.","Si necesita asistencia adiciona, por favor crear una nueva solicitud de servicio."
San Jose municipal code,Código Municipal de San José
car broken into,me abrieron el carro o me dañaron mi carro
still in non-compliance,todavía en situación de incumplimiento
take care of this piece of crap vehicle,hacerse cargo de este carro que no sirve para nada
truck load of junk,camión cargado de chatarra
pile of trash,montón de basura
It works only intermittently,Funciona de manera intermitente
SUV,SUV
Trash cans all overflowing,todos los botes de basura están llenos y rebosándose
oil containers,contenedores de aceite
misc items,artículos misceláneos
mattress and love seat in parkstrip,colchones y sofá en la franja verde
parkstrip,franja verde
homeless shelters,refugios para desamparados
recliners,reclinadoras
streetlights out,alumbrado público no funciona
tree needs to be cut,árbol necesita ser cortado
tree needs to be trimmed,árbol necesita ser podado
constantly double-parks and blocks lane of traffic,constantamente se estaciona en doble fila y bloquea el carril de tráfico
double-parks,estacionar en doble fila
yard waste,o podas del jardín
back plate doesn't match front plate,placa trasera no coincide con la placa frontal
tripping hazard,peligro de tropiezo
lockdown,cierre o confinamiento
quarantine,cuarentena
Please remove,Por favor eliminar
utility box,cuadro de utilidad
living in a trailer,viviendo en una casa rodante
streetlight pole number,número del poste de luz
motorcyclists,motociclistas
light bulb,bombilla o bombillo
stove,estufa
other assorted junk,otra basura variada
underpass,paso inferior
freeway,autopista
boat parked here for a few weeks now,barco estacionado aquí por unas semanas
cargo van parked,camioneta de carga/furgón o furgoneta estacionada
electronic devices,dispositivos electrónicos
chest of drawers,cómoda o cajonera
yard clippings,podas del jardín
a lot of trash everywhere,una gran cantidad de basura por todos lados
expired plates,placas vencidas
abandoned buildings,edificios abandonados
pave the street,pavimentar la calle
traffic accident,accidente de tráfico
I wish to file a police report.,Deseo presentar una denuncia policial.
property manager,administrador de la propiedad
tenant,inquilino
plumber,plomero
junk hauler,transportista de basura
We know a lot of tenants got impacted by COVID-19.,Sabemos que muchos inquilinos estuvieron afectados por COVID-19
drug transaction,transacción de drogas
So loud it is vibrating my walls and floor.,Tan fuerte que está vibrando mis paredes y el suelo.
Violent behavior.,Comportamiento violento.
"Drugs, illegal activity. ","Las drogas, actividad ilegal."
Druggies in car.,Drogadictos en el carro.
Please protect the children,"Por favor, proteger a los niños"
"The app wouldn’t let me select the proper address. ",La aplicación no me permitió seleccionar la dirección adecuada.
graffiti on public property,graffiti en propieda pública
boarded windows,ventanas tapadas con madera
Broken down car has been parked on our street for months.,carro descompuesto ha estado estacionado en nuestra calle durante meses
pedestrian tunnel vandalism,vandalismo en el túnel peatonal
graffiiti on painted wood fence,graffiiti en la cerca de madera pintada
graffiti on utility box,graffiti en caja de servicios públicos
graffiti on bus bench,el graffiti en el banco de autobuses
Who can I write about clearning up the mess?,¿A quién puedo escribir para limpiar el desorden?
Vehicle tagged 3 times,Veículo etiquetado 3 veces
Old electric range,Estufa eléctrica vieja
gang tags,marcas de pandillas
gang related graffiti,graffiti de pandillas
broken glass on bicycle lane,vidrios rotos en el carril de bicicleta
sectional,por seccional o secciones
Animal Care & Services,Servicios de Cuidado de Animales
water leak,fuga de agua
missed recycle,no recogieron el reciclaje
Please send a repairman to replace the lightbulb.,Por favor enviar a un técnico para reemplazar la bombilla.
This is a major safety hazard.,Esto es un riesgo para la seguridad
There is still tape and zip ties all over the VTA bus shelter.,Todavía hay cinta y amarres plásticos por todos lados en la parada del autobús VTA
"There is broken glass and trash everywhere. ",Hay vidrios rotos y basura por todas partes.
There is no electric power on pole number: 18S133,El poste eléctrico con número 18S133 no está electrificado
Van is across the street it’s full of junk,La camioneta al otro lado de la calle está llena de basura
Please take appropriate action quickly.,"Por favor, tome las medidas apropiadas rápidamente."
boatload of junk,Gran cantidad de basura
no jurisdiction,sin jurisdicción
Van has been parked in the same space for more than a month.,Van ha estado estacionado en el mismo espacio durante más de un mes.
It has no identification stickers.,No tiene pegatinas de identificación.
Was my section of the street swept on January 10?,¿Barrieron mi lado de la calle el 10 de enero?
Pick up truck had been parked and not moved for a few months now and had a couple of parking tickets,La camioneta estuvo estacionada y no se movió por unos cuantos meses y tuvo un par de tiquetes
"Vehicle looks abandoned or possibly stolen, and registration sticker has been expired since March","parece que el vehículo está abandonado o posiblemente robado, y la calcomanía de registro se venció en marzo."
Lots of bike parts left in front of church entrance,hay un montón de piezas de bicicleta frente a la entrada de la iglesia
"Humongous pile of garbage flowing into the street. ",gran cantidad de basura volando a la calle
When are city leaders going to take this problem seriously?,Cuándo los líderes de la ciudad se van a tomar en serio este problema?
my prior ticket was closed without any comment so I'm re-opening it here.,"mi boleto anterior fue cerrado sin ningún comentario, así que estoy sometiendo uno nuevo."
Vehicle has been parked in front of my house since 1/1 without any movement.,Vehículo ha estado estacionado en frente de mi casa desde 1/1 sin ningún movimiento.
Drinking fountain inside park entrance.,Fuente de agua potable dentro de la entrada del parque.
trash against the freeway wall,basura contra la pared de la autopista
motor home with no plates does not run,Casa rodante sin placas no funciona
water leak in middle of street,fuga de agua en medio de la calle
How can I get someone to come give citations or look at vehicles parked for more than 3 months on my street?,¿Qué tengo que hacer para que alguien de una notificación o mire los vehículos estacionados por más de 3 meses en la calle.
I do not see any action so far on the last 2 tickets,Hasta el momento no ha pasado nada con los últimas 2 boletos
Multiple streetlights out,Varias luces de la calle no funcionan
"Two RV’s with homeless folks have been here for weeks. ",Dos RVs con personas desamparadas han estado aquí durante dos semanas.
SUV has been parked in this spot for two cycles of street cleaning.,SUV ha estado estacionado en este lugar por dos ciclos de limpieza de la calle.
Stored on the street,Almacenado en la calle
Multiple warnings issued.,Múltiples advertencias emitidas.
"They tore the red tag off and have not moved it. ",Le arrancaron la calcomanía roja y no lo han movido.
baby car seat,asiento de coche de bebé
traffic hazard,peligro para el tráfico
windshield,parabrisas
a lot of misc debris,una gran cantidd de basura miscelánea
"Due to COVID-19, your service may be delayed.","Debido a COVID-19, su servicio se puede retrasar."
We ask for your patience.,Le pedimos su paciencia.
Broken down couch by the side of the road near the underpass,sofá roto a la orilla de la carretera cerca del paso inferior o subterráneo
Broken down couch,sofá roto
asphalt cracking,agrietamiento del asfalto
"Please do not close request without providing further details. ",por favor no cierre la solicitud sin proporcionar más detalles
Large pile of debris in road where bikes use road.,Gran cantidad de basura en la vía para bicicletas
Yard waste dumped in the bike lane,Podas del jardín en el carril para bicicletas
northbound bike lane of S 7th street,carril para bicicletas en direccion norte en la calle 7 S
"Big van with a trailer. ",Camioneta grande con un remolque
Tires are flat.,Llantas están desinfladas.
"It is parked outside of a school campus in an area that is used for school bus parking. ",Está estacionado afuera de un campus escolar en un área que se utiliza para el estacionamiento del autobús escolar
Cars are swerving to avoid it creating a dangerous situation,los carros están girando bruscamente (zig zag) para evitar una situación peligrosa
Broken manhole cover,tapa de alcantarilla rota
"Please install a 3-way traffic signal at the intersection of San Jose Ave. and Almaden Expressway. ","Por favor, instale una señal de tráfico de 3 vías en la intersección de la Avenida San José y Almaden Expressway."
Where is parking control!,¿Dónde está el control de estacionamiento!
Vehicle has exceeded 72 hr stationary parking allowance.,el vehículo ha superado las 72 horas de estacionamiento permitido
Please tag & tow the vehicle.,por favor asigne una etiqueta y remolque el vehículo
I'm a taxpayer,Soy un contribuyente
No plates still running around in the street parked all over the court would be nice if the city just tow it and be done with it it’s not registered and it’s not legal,"No tiene placas. Sigue andando y estacionado en la calle (court). Sería agradable que la ciudad lo remolcar, se hicieran cargo de esto. El vehículo no está registrado y no es legal."
This trailer has been parked all weekend here.,Este remolque ha estado estacionado todo el fin de semana.
unregistered vehicle,vehículo no registrado
"After you guys came out to issue a warning, the owner removes the warning. ","Después de que usteden vinieron a emitir una advertencia, el propietario se deshizo de ella"
Can we please get some enforcement?,need context
Parking is very limited in this area.,Estacionamiento es muy limitado en esta área
"You should do a daily sweep of this street. ",Debe barrer la calle a diario
High chair,Silla alta
pickup truck,camioneta
station wagon,camioneta
Private property with constant violations,Propiedad privada con violaciónes constantes
blocking the crosswalk,bloqueando el paso de peatones
Please get it out of our neighborhood.,Por favor sacarlo de nuestro barrio.
"Appears to be unmarked, older, police cruiser",Parece ser un carro de policía sin marcas/identificación
has received multiple pink city notices,ha recibido varios avisos de color rosa de la ciudad
"missing tail gate, full of pallets.","le hace falta la luz trasera, llena de ""pallets"""
orange cone,cono anaranjado
piles of leaf litter,montones de hojas
"Old historic building has graffiti. ",Edificio antiguo tiene graffiti
christmas tree,árbol de Navidad
Construction truck filled with debris.,Carro de la construcción lleno de escombros.
How many times do you have to tell the owner of this RV not to park here?,¿Cuántas veces usted tiene que decirle al propietario de este RV no aparcar aquí?
Thank you on behalf of the entire neighborhood.,Gracias en nombre de todo el vecindario.
It should be repaved.,Debería ser repavimentado
Red graffiti on playground table,graffiti rojo en las mesas en el parque infantil
"Oven, tree branches and garbage in street","Horno, ramas de árboles y basura en la calle"
Trash piled next to dumpster at dead end,La basura apilada junto al contenedor de basura en el callejón sin salida
"Front left dent, left rear tire flat, leaking coolant on street. ","Abolladura frontal izquierda, llanta trasera izquierda desinflada, fuga de refrigerante en la calle."
Dumped washer/dryer unit,lavadora de ropa/secador abandonada
Exercise bike in the street blocking parking,bicicleta estática en la calle bloqueando el estacionamiento
Large items dumped on sidewalk,Artículos grandes tirados en la acera
Light has been out since around Xmas,La luz no funciona desde la navidad
"There was graffiti abatement done on this light pole. ",Limpiaron el graffiti en este poste de la luz
F&E Towing keeps parking their company vehicles,F&E Towing sigue estacionando sus vehículos de la empresa
Couch on trail head,Sofá en el la entrada del sendero
Facing wrong direction,En la dirección equivocada / Orientada en la dirección equivocada
"Delivery truck has multiple tool boxes strapped to the back of it. ",camión de reparto tiene varias cajas de herramientas atados a la parte posterior de la misma.
Parked in front of fire extinguisher,Aparcado delante de extintor
Futon dumped on side of property,Futón abandonado al lado de la propiedad
Possible garage sale for stolen items.,Posible venta de garaje para los artículos robados.
"Street flood near the DMV.  ",Se inundó una calle cerca del DMV.
Tons of water,Toneladas de agua
Outdated registration,Registro vencido
Covered with bird droppings and blocking the gutter with backed up leaves.,Cubierto de excremento de aves y bloqueando la canaleta con hojas
"Multiple agencies point back to you as the lead agency to deal with removal of the vehicle.  ",Agencia múltiples indican que usted es la agencia líder para abordar la remoción del vehículo
It is dangerous as deer and coyotes cross this street at night and the drivers are older.,es peligroso ya qe venados y coyotes cruzan esta calle por la noche y los conductores son mayores
"It is very dark at night as it is in the foothills. ","Es muy oscuro por la noche, ya que es en las faldas de la montaña"
Unsafe debris and garbage under 280 overpass,basura y residuos peligrosos debajo del paso elevado en la 280
They store automotive fluids in containers left at the curb.,Almacenan fluidos automotrices en recipientes dejados en la acera.
Pedestrian crossing light never comes on,La luz para peatones nunca se enciende
"What can I do if I want it moved from my house. ",¿Qué puedo hacer yo si quiero que se mude o mueva d emi casa?
"They speed up and down the street at all hours of the day and night in heavily modified Honda Civic cars with loud exhaust systems. ",Andan a alta velocidad por la calle a todas horas del día y por la noche en carros tipo Honda Civic modificados con sistema de escape ruidosos.
"How should I deal with neighbors placing cones out on the street to reserve parking spots? ",¿Qué puedo hacer cuando mis vecinos colocan conos anaranjados en la calle para reservar espacios de estacionamiento?
Is this legal?,¿Esto es legal?
"Vehicle was previously tagged and moved by responsible party very short distance from where it was chalked.  ",Vehículo fue etiquetado con anterioridad y la persona responsable lo movió una corta distancia de donde fue marcado.
box truck,camión con forma de caja
Vehicle appears inoperative.,Vehículo no parece funcionar
A vehicle with expired registration is parked on public streets,Un vehículo con matrícula vencida se encuentra estacionado en la vía pública
Couch and other material dumped on Guadalupe trail.,sofá y otro material abandonado en el sendero Guadalupe
Electrical box covers broken,cubiertas de la caja eléctrica rotos
"Street lifted, uneven, potentially dangerous for motorists. ","Calle levantada, desigual, potencialmente peligrosa para los automovilistas."
I cannot determine the entire pole number.,No puedo determinar el número completo del poste
"It has been mostly painted over. ",En su mayoría ha sido repintado
The light pole number needs to be repainted or new stickers added.,Es necesario volver a pintar el número del poste de luz o colocar pegatinas nuevas
"This light is not working properly again. ",Esta luz no está funcionando correctamente de nuevo.
This light only works intermittently,Esta luz sólo funciona de forma intermitente
Trash that has been there for weeks untouched,La basura que ha estado allí durante semanas sin tocar
It appears not to be operable and it takes up parking spaces in a crowded street.,No parece funcionar y usa más espacio de lo necesario ne una calle congestionada
Broken tv sitting here for several weeks,TV dañada ha estado aquí varias semanas
"Toilet, microwave and stove top","Inodoro, microondas y estufa"
"I'd like to know how to dispose of the 4 ionization smoke detectors and 1 carbon monoxide detector I have. ",Me gustaría saber cómo deshacerme de los 4 detectores de humo por ionización y 1 detector de monóxido de carbono que tengo
Can they go in the trash?,Pueden ir a la basura?
Terrible unsightly dumping,Basurero desagradable
Ugly tagging,Graffiti feo
"I wanted to know if there is a policy or law out there as to how many large trucks can be parked in a residental area. ",Yo quería saber si existe una política o ley que hay en cuanto a cuántos camiones grandes se pueden aparcar en una zona residencial.
Unsightly graffiti that visitors to our city have to look at.,Graffiti desagradable que tienen que ver los visitantes de nuestra ciudad
"How can we handle this. ",¿Cómo podemos manejar esto.
It's not fair to other neighbors.,No es justo para los demás vecinos.
If he is running such a large business he should be required to rent out a lot to park these large vehicles.,"Si é está llevando a cabo dicho negocio grande, deber161a estar obligado a alquilar un lote par estacionar estos vehículos de gran tamaño"
There have been a few occasions where I have almost gotten struck by another vehicle,Ha habido un par de ocaciones en las que casi he sido golpeado por otro vehículo
You can't miss it!,¡No pueden faltar!  ¡No se pueden faltar!
car has plastic bag taped on its windows,coche tiene bolsa de plástico pegada en sus ventanas
motor home just moves around,Mueve la casa rodante de aquí para allá
trailer is still here even though you said you have been out,"remolque está aquí todavía, aunque dijo que se había ido"
Broken office chair left at this corner,silla de oficina rota abandonada en esta esquina
"There is very limited parking for residence on this street. ",Hay un aparcamiento muy limitado para la residencia en esta calle.
"This vehicle has been parked outside 1455 Yosemite Ave for the last week filled with stuff and leaking oil. ",Este vehículo ha estado estacionado frente a 1455 Yosemite Av por la última semana lleno de cosas y con fugas de aceite
"This car parked for more than one month consecutive on above address ",Este coche aparcado durante más de un mes consecutivo en la dirección arriba indicada
"Parked in current spot since mid-December. ",Estacionado en el mismo lugar desde mediados de diciembre
"Was ticketed for street sweeping last Friday. ",Fue multado por barrido de calles el viernes pasado.
Please help!,¡Por favor ayuda!
We are getting overrun with RVs.,Estamos cada vez invadida por los vehículos recreativos.
"People are living out of these RVs, defecating in the bushes, and having barbecues going near the buildings. ",La gente viviendo en estas casas rodantes hace sus necesidades en los arbustos y cocinan cerca de los edificios
"Please tag asap to avoid getting much worse. ",Por favor etiqueta antes posible para evitar ser mucho peor.
ASAP (as soon as possible),"Lo antes posible, tan pronto como sea posible)"
"They have been there awhile.  ",Ellos han estado allí un rato.
"Please tag them or we will be back to having huge problems again.  ","Por favor, etiquetarlas o volveremos a tener enormes problemas de nuevo."
Could not read exact license plate number,No se pudo leer el número exacto de matrícula
This car has been immobile since Thanksgiving.,Este carro no se ha movido desde el Día de Acción de Gracias
Someone was seen once grabbing things and then leaving without move it.,Alguien una vez que fue visto agarrando cosas y luego dejando sin moverlo.
This pothole is a decent size.,Este bache es de un tamaño decente.
Sooner or later there'll be many accidents.,Tarde o temprano habrá muchos accidentes.
Kids are also at play at various times if the day too.,Los niños también juegan a diferentes horas del día
"People take too wide of a turn to avoid it. ",La gente da una vuelta muy ancha para evitarlo
This tow truck has no license plate displayed not hasn't moved in over a month.,"Este camión de remolque no tiene una placa, no lo han movido por más de un mes"
Now the other tenants are filling it up with trash.,Ahora los otros inquilinos están llenando con basura.
"I believe the owner of this truck no longer lives at 122 Oakberry Way. ",Creo que el dueño de este vehículo ya no vive en 122 Oakberry Way.
Dumped tree trunks and branches.,Troncos de árboles y ramas botados
Sidewalk has overgrown ivy growing over nearly all of the sidewalk.,la acera está casi cubierta con hierba
Very dangerous at night,Muy peligroso por la noche
Minivan has been parked on the street for a month,Minivan ha estado estacionado en la calle por un mes
urinating on bushes,orinar en los arbustos
Pieces of furniture on park strip area across street from address given.,Pedazos de muebles tirados en la franja verde al otro lado de la calle de la dirección proporcionada
Be careful human feces in grass area.,"Tenga cuidado, material fecal humana en el pasto"
front end accident,accidente de la parte delantera
Multiple carts abandoned for several days at trail entrance,Múltiples carritos de compras abandonados durante varios días en la entrada al sendero.
Please help to check this area more often because there are many vehicles park incorrectly,Por favor ayuda a monitorear esta área con mayor frecuencia debido a que muchos vehículos estacionan de forma incorrecta.
"violate the law day and night ",violar la ley día y noche
This vehicle is causing a hazard because it has a car jack under the rear wheel to prevent it from rolling backwards down a steep hill.,Este vehículo está causando un peligro porque tiene un gato del coche debajo de la rueda trasera para evitar que ruede hacia atrás por una cuesta empinada.
SUV with tow chain parked on hillside,SUV con la cadena de remolque aparcado en la ladera
"Water heater, furniture on sidewalk","calentador de agua, muebles en la acera"
Our street has become a storage area and dumping spot for the last two years.,Nuestra calle se ha convertido en un área de almacenamiento y lugar donde arrojar basura durante los últimos dos años
Illegal boarding of storefront and unpermitted signs.,entablado ilegal del frente de la tienda y avisos no permitidos
Graffiti on wall adjacent to city bike path,graffiti en la pared adyacente a la ruta para bicicletas
I am trying to shut off water service,Estoy tratando de apagar el servicio de agua
"This is a food truck stored for weeks on end in a residential neighborhood. ",Es un camión de alimentos que ha estado guardado durante muchas semanans
"Car has expired tags and has been parked on the street for an extended period of time. ",el carro tiene etiquetas vencidas y ha estado estacionado en la calle por un período largo de tiempo.
Trespassing and littering on private property,Invasión de propiedad y tirar basura en propiedad privada
rear end damage,daño en la parte trasera
"I looked inside and see wires hanging out like it's been hotwired. ",Miré adentro y vi cables colgando como si le hubieran hecho un puente
Probably a stolen car.,Probablemente un carro robado
portable toilet,Baño portátil
EMERGENCY NOTIFICATIONS,NOTIFICACIONES DE EMERGENCIA
COVID-19 Mitigation and Response,Mitigación y respuesta al COVID-19  
The following is information about the City of San José’s response to slow the spread of the novel coronavirus (COVID-19) and reduce the number of people infected.,Lo siguiente es Información Sobre La Respuesta de la Ciudad de San José para frenar la propagación del nuevo coronavirus (COVID-19) y Reducir el Número de personas infectadas. 
"DATE/TIME OF REPORT: June 24, 2020, 5:00 PM","FECHA/HORA DEL INFORME: 24 de Junio de 2020, 4:00 P. M."
Updates on City of San José Services and/or Operations,Información actualizada sobre los servicios y/u operaciones de la Ciudad de San José 
"City Manager Update to Council: City Manager Dave Sykes presented an update to the City Council during Item 3.1 yesterday, June 23, regarding the City’s response to COVID-19.","Actualización del Administrador de la Ciudad al Concejo: el Administrador de la Ciudad, Dave Sykes, presentó en el día de ayer, 23 de Junio, información actualizada al Concejo Municipal con respecto a la respuesta de la Ciudad al COVID-19, en el marco del punto 3.1."
The full City Council meeting can be watched on the City’s YouTube Channel.,La reunión completa del Concejo Municipal puede verse en el Canal de YouTube de la Ciudad. 
"Virtual Local Assistance Center Now Available in Multiple Languages: In an effort to widen its reach and bridge language barriers, the City’s Virtual Local Assistance Center (VLAC) is now available in multiple languages.","Centro de Asistencia Local Virtual disponible ahora en varios idiomas: en un esfuerzo por ampliar su alcance y superar las barreras del idioma, el Centro de Asistencia Local Virtual (VLAC, por sus siglas en inglés) de la Ciudad ahora está disponible en varios idiomas."
"In addition to the option of using the translating feature at the top of the webpage, the VLAC now offers pages dedicated to resources in Spanish, Vietnamese, and Chinese (Traditional).","Además de la opción de usar la función de traducción en la parte superior de la página web, el VLAC ahora ofrece páginas dedicadas a recursos en Español, Vietnamita y Chino (tradicional)."
"While the content on the City’s website will be translated, not all linked resources will be translated by the service-provider.","Si bien el contenido del sitio web de la Ciudad estará traducido, no todos los recursos vinculados serán traducidos por el proveedor del servicio."
A preemptive message of (in English) will follow any links that are not available in-language.,Aparecerá un mensaje de (in English) (en Inglés) en los enlaces que no estén disponibles en el idioma que corresponda.
Visit www.sanjoseca.gov/VLAC to view the new resource.,Visite www.sanjoseca.gov/VLAC para ver el nuevo recurso.
Residents can also call 311 if they cannot find the information they are looking for.,Los residentes también pueden llamar al 311 si no pueden encontrar la información que buscan.
"City of San Jose Extends Eviction Moratorium to August 31: Last night, the City Council voted to extend the temporary eviction moratorium to August 31, 2020.","La Ciudad de San José ha extendido la moratoria de desalojo hasta el 31 de Agosto: anoche, el Concejo Municipal votó para extender la moratoria de desalojo temporal hasta el 31 de Agosto de 2020."
The moratorium prevents evictions based on non-payment of rent for tenants affected by the COVID-19 pandemic.,La moratoria impide los desalojos por falta de pago del alquiler de los inquilinos afectados por la pandemia del COVID-19.
"Affected tenants must pay at least 50% of unpaid rent that accrues during the moratorium within six months of the end of the eviction moratorium, and the remaining 50% must be paid within one year of the end of the moratorium.","Los inquilinos afectados deben pagar al menos el 50% del alquiler no pagado que se acumule durante la moratoria, dentro de los seis primeros meses de terminarse la moratoria de desalojo, y el 50% restante debe pagarse dentro de un año de haberse terminado la moratoria."
"For questions and additional information, contact the Rent Stabilization Program at (408) 975-4480 or rsp@sanjoseca.gov.","Para hacer preguntas y recibir información adicional, póngase en contacto con el Programa de Estabilización de Alquileres (Rent Stabilization Program) llamando al (408) 975-4480 o escribiendo a rsp@sanjoseca.gov."
"San José Sports Field Reservations and Allowable Use: San José sports fields are now available for allowable activities which include permitted summer camp, class, or practice reservations.","Reservaciones y uso permitido de los campos deportivos de San José: los campos deportivos de San José ahora están disponibles para actividades permitidas que incluyen reservaciones para campamentos de verano, clases o prácticas autorizadas."
"If your sports league or program is interested in offering summer camps, classes and/or practices for baseball, soccer practice or other non-contact sports activities on San José fields, please contact FieldReservations@sanjoseca.gov.","Si su liga o programa deportivo está interesado en ofrecer campamentos de verano, clases y/o prácticas de béisbol, fútbol u otras actividades deportivas independientes, en los campos de San José, comuníquese con FieldReservations@sanjoseca.gov."
"All summer camps, classes, and practices must consist of stable groups of 12 or fewer participants, and follow all appropriate social distancing protocols.","Todos los campamentos de verano, clases y prácticas deben contar con grupos estables de 12 participantes o menos, y deben seguir todos los protocolos de distanciamiento social apropiados."
The complete Santa Clara County summer camp guidelines can be found on the Santa Clara County Public Health website.,Las reglas completas para los campamentos de verano del Condado de Santa Clara se pueden encontrar en el sitio web de Salud Pública del Condado de Santa Clara.
"Although sport fields are open, social gathering and non-permitted team sports games and practices are still prohibited.","Aunque los campos deportivos están abiertos, las reuniones sociales y los juegos y prácticas de deportes en equipo no permitidos siguen estando prohibidos. "
"Apply for a Summer Camp Scholarship: Scholarships are available for families and individuals who meet the qualifications and can be used at any camp program location, including Lake Cunningham Action Sports Park and other specialty camps.","Solicite una beca de campamento de verano: las becas están disponibles para familias e individuos que cumplan con los requisitos y se pueden usar en cualquier lugar del programa de campamento, incluyendo el Parque de Deportes de Acción Lake Cunningham y otros campamentos especializados."
Scholarship applications are accepted at various community centers and you must apply in person.,Se aceptan solicitudes de becas en diversos centros comunitarios y debe presentarse personalmente.
"For a list of community center locations and times, visit bit.ly/prnsreopens.","Para obtener una lista de los lugares y horarios de los centros comunitarios, visite bit.ly/prnsreopens."
Camps begin on July 13 for children between the ages of 5 and 12.,Los campamentos comienzan el 13 de Julio para niños de entre 5 y 12 años.
You can register for a camp at SJRegistration.com.,Puede inscribirse en un campamento en SJRegistration.com.
Summer camps are modified to ensure health and safety following State and County guidelines.,Los campamentos de verano están modificados para garantizar la salud y la seguridad siguiendo las reglas del Estado y del Condado.
"Face coverings are required, daily health screenings will be performed, and each camp is limited to no more than 12 children.","Es obligatorio usar cubiertas faciales, se realizarán controles de salud diarios y cada campamento estará limitado a no más de 12 niños."
"Please note, these community centers will only be open for scholarship applications and no other programming will be available.",Tenga en cuenta que estos centros comunitarios solo estarán abiertos para las solicitudes de becas y no habrá otra programación disponible.
"Revenue Management Resumes Phone Service: On Wednesday June 17, the Revenue Management Division of the Finance Department resumed phone service for customers calling with inquiries for Business Tax and other miscellaneous invoices.","La Administración de Ingresos reanuda el servicio telefónico: el Miércoles 17 de Junio, la División de Administración de Ingresos (Revenue Management Division) del Departamento de Finanzas (Finance Department) reanudó el servicio telefónico para clientes que llaman para hacer consultas sobre el impuesto comercial y otras preguntas de recibos de pago."
Residents and businesses can speak with a customer service representative by calling (408) 535-7055 and following the call tree options.,Los residentes y las empresas pueden hablar con un representante del servicio al cliente llamando al (408) 535-7055 y siguiendo las opciones del árbol de llamadas.
Businesses can also email businesstax@sanjoseca.gov for information and assistance. ,Las empresas también pueden enviar un correo electrónico a businesstax@sanjoseca.gov para solicitar información y asistencia. 
Census Updates:,Información actualizada sobre el Censo: 
"This week, the U.S. Census Bureau released dates for several operations that were suspended due to the COVID-19 pandemic, including hiring and training, door-to-door visits, and enumeration of people without conventional housing and people who may be experiencing homelessness.","esta semana, la Oficina del Censo de los Estados Unidos (U.S. Census Bureau) publicó las fechas de varias operaciones que fueron suspendidas debido a la pandemia del COVID-19, incluyendo contratación y capacitación, visitas puerta a puerta y enumeración de personas sin vivienda convencional y persona que no tienen vivienda."
"As a reminder, the 2020 Census can be completed online at 2020census.gov, by phone at 844-330-2020 or by mail.","Como recordatorio, el Censo 2020 se puede realizar en línea en 2020census.gov, por teléfono al 844-330-2020 o por correo."
"By law, the U.S. Census Bureau cannot share individual census responses with others, including federal, state and local agencies, law enforcement, landlords, etc.","Por ley, la Oficina del Censo de los Estados Unidos no puede compartir las respuestas individuales del censo con otros, incluyendo agencias federales, estatales y locales, fuerzas del orden, arrendadores, etc."
"Facebook Live Conversation with Attorney General of California Xavier Becerra: Tune in tonight at 5:00 p.m. for a conversation in Spanish about the 2020 Census featuring California Attorney General Xavier Becerra and Radio Host and Journalist, Celina Rodriguez. ","Conversación en Facebook en vivo con el Fiscal General de California Xavier Becerra: sintonice esta noche a las 5:00 p.m. para ver una conversación en Español sobre el Censo 2020 con el Fiscal General de California, Xavier Becerra, y la presentadora de radio y periodista, Celina Rodríguez. "
Watch on Facebook Live.,Mírela en Facebook en vivo.
